[I 230512 12:47:16 main:247] Iteration 347 started
[I 230512 12:47:16 main:247] Iteration 348 started
[I 230512 12:47:16 main:150] Motion detected
[I 230512 12:47:16 main:247] Iteration 349 started
[I 230512 12:47:16 main:150] Motion detected
[I 230512 12:47:16 main:247] Iteration 350 started
[I 230512 12:47:16 main:247] Iteration 351 started
[I 230512 12:47:16 main:247] Iteration 352 started
[I 230512 12:47:16 main:247] Iteration 353 started
[I 230512 12:47:16 main:247] Iteration 354 started
[I 230512 12:47:17 main:247] Iteration 355 started
[I 230512 12:47:17 main:247] Iteration 356 started
[I 230512 12:47:17 main:247] Iteration 357 started
[I 230512 12:47:17 main:247] Iteration 358 started
[I 230512 12:47:17 main:247] Iteration 359 started
[I 230512 12:47:17 main:247] Iteration 360 started
[I 230512 12:47:23 main:159] Humans detected: 0
[I 230512 12:47:23 main:247] Iteration 361 started
[I 230512 12:47:23 main:247] Iteration 362 started
[I 230512 12:47:23 main:247] Iteration 363 started
[I 230512 12:47:23 main:247] Iteration 364 started
[I 230512 12:47:23 main:247] Iteration 365 started
[I 230512 12:47:23 main:247] Iteration 366 started
[I 230512 12:47:23 main:247] Iteration 367 started
[I 230512 12:47:24 main:247] Iteration 368 started
[I 230512 12:47:24 main:247] Iteration 369 started
[I 230512 12:47:24 main:247] Iteration 370 started
[I 230512 12:47:24 main:247] Iteration 371 started
[I 230512 12:47:24 main:247] Iteration 372 started
[I 230512 12:47:24 main:247] Iteration 373 started
[I 230512 12:47:24 main:247] Iteration 374 started
[I 230512 12:47:24 main:247] Iteration 375 started
[I 230512 12:47:24 main:247] Iteration 376 started
[I 230512 12:47:24 main:247] Iteration 377 started
[I 230512 12:47:25 main:247] Iteration 378 started
[I 230512 12:47:25 main:247] Iteration 379 started
[I 230512 12:47:25 main:247] Iteration 380 started
[I 230512 12:47:25 main:247] Iteration 381 started
[I 230512 12:47:25 main:247] Iteration 382 started
[I 230512 12:47:25 main:247] Iteration 383 started
[I 230512 12:47:25 main:247] Iteration 384 started
[I 230512 12:47:25 main:247] Iteration 385 started
[I 230512 12:47:26 main:247] Iteration 386 started
[I 230512 12:47:26 main:247] Iteration 387 started
[I 230512 12:47:26 main:247] Iteration 388 started
[I 230512 12:47:26 main:247] Iteration 389 started
[I 230512 12:47:26 main:247] Iteration 390 started
[I 230512 12:47:26 main:247] Iteration 391 started
[I 230512 12:47:26 main:247] Iteration 392 started
[I 230512 12:47:26 main:247] Iteration 393 started
[I 230512 12:47:27 main:247] Iteration 394 started
[I 230512 12:47:27 main:247] Iteration 395 started
[I 230512 12:47:27 main:247] Iteration 396 started
[I 230512 12:47:27 main:247] Iteration 397 started
[I 230512 12:47:27 main:247] Iteration 398 started
[I 230512 12:47:27 main:247] Iteration 399 started
[I 230512 12:47:27 main:247] Iteration 400 started
[I 230512 12:47:27 main:247] Iteration 401 started
[I 230512 12:47:28 main:247] Iteration 402 started
[I 230512 12:47:28 main:247] Iteration 403 started
[I 230512 12:47:28 main:247] Iteration 404 started
[I 230512 12:47:28 main:247] Iteration 405 started
[I 230512 12:47:28 main:247] Iteration 406 started
[I 230512 12:47:28 main:247] Iteration 407 started
[I 230512 12:47:28 main:247] Iteration 408 started
[I 230512 12:47:28 main:247] Iteration 409 started
[I 230512 12:47:29 main:247] Iteration 410 started
[I 230512 12:47:29 main:247] Iteration 411 started
[I 230512 12:47:29 main:150] Motion detected
[I 230512 12:47:29 main:247] Iteration 412 started
[I 230512 12:47:29 main:247] Iteration 413 started
[I 230512 12:47:29 main:247] Iteration 414 started
[I 230512 12:47:29 main:247] Iteration 415 started
[I 230512 12:47:29 main:247] Iteration 416 started
[I 230512 12:47:29 main:247] Iteration 417 started
[I 230512 12:47:30 main:247] Iteration 418 started
[I 230512 12:47:30 main:247] Iteration 419 started
[I 230512 12:47:30 main:150] Motion detected
[I 230512 12:47:30 main:247] Iteration 420 started
[I 230512 12:47:30 main:150] Motion detected
[I 230512 12:47:36 main:159] Humans detected: 0
[I 230512 12:47:36 main:247] Iteration 421 started
[I 230512 12:47:36 main:247] Iteration 422 started
[I 230512 12:47:36 main:247] Iteration 423 started
[I 230512 12:47:36 main:247] Iteration 424 started
[I 230512 12:47:36 main:247] Iteration 425 started
[I 230512 12:47:36 main:247] Iteration 426 started
[I 230512 12:47:36 main:247] Iteration 427 started
[I 230512 12:47:36 main:247] Iteration 428 started
[I 230512 12:47:36 main:247] Iteration 429 started
[I 230512 12:47:36 main:247] Iteration 430 started
[I 230512 12:47:36 main:247] Iteration 431 started
[I 230512 12:47:36 main:247] Iteration 432 started
[I 230512 12:47:37 main:247] Iteration 433 started
[I 230512 12:47:37 main:247] Iteration 434 started
[I 230512 12:47:37 main:247] Iteration 435 started
[I 230512 12:47:37 main:247] Iteration 436 started
[I 230512 12:47:37 main:247] Iteration 437 started
[I 230512 12:47:37 main:247] Iteration 438 started
[I 230512 12:47:37 main:247] Iteration 439 started
[I 230512 12:47:37 main:247] Iteration 440 started
[I 230512 12:47:38 main:247] Iteration 441 started
[I 230512 12:47:38 main:247] Iteration 442 started
[I 230512 12:47:38 main:247] Iteration 443 started
[I 230512 12:47:38 main:247] Iteration 444 started
[I 230512 12:47:38 main:247] Iteration 445 started
[I 230512 12:47:38 main:247] Iteration 446 started
[I 230512 12:47:38 main:247] Iteration 447 started
[I 230512 12:47:38 main:247] Iteration 448 started
[I 230512 12:47:39 main:247] Iteration 449 started
[I 230512 12:47:39 main:247] Iteration 450 started
[I 230512 12:47:39 main:247] Iteration 451 started
[I 230512 12:47:39 main:247] Iteration 452 started
[I 230512 12:47:39 main:247] Iteration 453 started
[I 230512 12:47:39 main:247] Iteration 454 started
[I 230512 12:47:39 main:247] Iteration 455 started
[I 230512 12:47:39 main:247] Iteration 456 started
[I 230512 12:47:40 main:247] Iteration 457 started
[I 230512 12:47:40 main:247] Iteration 458 started
[I 230512 12:47:40 main:247] Iteration 459 started
[I 230512 12:47:40 main:247] Iteration 460 started
[I 230512 12:47:40 main:247] Iteration 461 started
[I 230512 12:47:40 main:247] Iteration 462 started
[I 230512 12:47:40 main:247] Iteration 463 started
[I 230512 12:47:40 main:247] Iteration 464 started
[I 230512 12:47:41 main:247] Iteration 465 started
[I 230512 12:47:41 main:247] Iteration 466 started
[I 230512 12:47:41 main:247] Iteration 467 started
[I 230512 12:47:41 main:247] Iteration 468 started
[I 230512 12:47:41 main:247] Iteration 469 started
[I 230512 12:47:41 main:247] Iteration 470 started
[I 230512 12:47:41 main:247] Iteration 471 started
[I 230512 12:47:41 main:247] Iteration 472 started
[I 230512 12:47:42 main:247] Iteration 473 started
[I 230512 12:47:42 main:247] Iteration 474 started
[I 230512 12:47:42 main:247] Iteration 475 started
